time_value,geo_type,geo_value,rsv_pct_positive,flu_pct_positive,sarscov2_pct_positive,Season
2020-01-11,territory,nt,0,20.69,NA,2019-2020
2020-01-11,province,sk,7.05,29.9,NA,2019-2020
2020-01-11,province,pe,11.9,14.29,NA,2019-2020
2020-01-11,territory,yt,0,6,NA,2019-2020
2020-01-04,territory,yt,0,0,NA,2019-2020
2020-01-04,territory,nu,0,14.29,NA,2019-2020
2020-01-04,province,sk,5.56,25.66,NA,2019-2020
2020-01-04,territory,nt,0,26.32,NA,2019-2020
2020-01-04,province,pe,7.32,9.76,NA,2019-2020
2020-01-11,province,ab,0,29.01,NA,2019-2020
2020-01-11,province,mb,11.42,27.49,NA,2019-2020
2020-01-11,province,nb,24.18,18.03,NA,2019-2020
2020-01-11,province,nl,16.56,3.82,NA,2019-2020
2020-01-11,province,ns,6.67,13.53,NA,2019-2020
2019-12-28,province,ab,0,36.75,NA,2019-2020
2019-12-28,province,nb,24.83,16.21,NA,2019-2020
2019-12-28,province,sk,1.68,35.63,NA,2019-2020
2019-12-28,territory,nt,0,20,NA,2019-2020
2019-12-28,province,ns,12.04,6.48,NA,2019-2020
2019-12-28,province,mb,14.67,32.61,NA,2019-2020
2019-12-28,province,nl,20.88,6.59,NA,2019-2020
2019-12-28,territory,nu,0,0,NA,2019-2020
2019-12-28,province,pe,0,4.65,NA,2019-2020
2019-12-28,territory,yt,0,0,NA,2019-2020
2019-12-21,province,pe,3.7,3.7,NA,2019-2020
2019-12-21,province,ns,5.95,3.61,NA,2019-2020
2019-12-21,province,nl,14.16,6.19,NA,2019-2020
2019-12-21,province,nb,17.43,11.84,NA,2019-2020
2019-12-21,province,mb,0,0,NA,2019-2020
2019-12-21,province,ab,0,34.29,NA,2019-2020
2019-12-21,territory,nt,0,0,NA,2019-2020
2019-12-21,territory,nu,0,0,NA,2019-2020
2019-12-21,territory,yt,0,2.5,NA,2019-2020
2019-12-21,province,sk,1.8,24.8,NA,2019-2020
2019-12-14,province,pe,0,5,NA,2019-2020
2019-12-14,province,ns,3.12,1.08,NA,2019-2020
2019-12-14,province,nl,11.85,1.48,NA,2019-2020
2019-12-14,province,nb,16.83,7.21,NA,2019-2020
2019-12-14,province,mb,8.39,17.83,NA,2019-2020
2019-12-14,province,sk,1.59,19.77,NA,2019-2020
2019-12-14,territory,nu,0,0,NA,2019-2020
2019-12-14,territory,nt,0,13.04,NA,2019-2020
2019-12-14,territory,yt,0,6.67,NA,2019-2020
2019-12-14,province,ab,0,29.87,NA,2019-2020
2019-12-07,province,sk,1.96,13.69,NA,2019-2020
2019-12-07,province,pe,0,0,NA,2019-2020
2019-12-07,province,ab,0,19.14,NA,2019-2020
2019-12-07,province,mb,9.92,14.48,NA,2019-2020
2019-12-07,province,nb,8.63,2.16,NA,2019-2020
2019-12-07,province,nl,4.04,7.07,NA,2019-2020
2019-12-07,province,ns,2.47,0,NA,2019-2020
2019-12-07,territory,yt,0,1.82,NA,2019-2020
2019-12-07,territory,nu,0,0,NA,2019-2020
2019-12-07,territory,nt,0,0,NA,2019-2020
2019-11-30,province,ab,0,21.11,NA,2019-2020
2019-11-30,province,mb,6.9,11.01,NA,2019-2020
2019-11-30,province,nb,5.11,1.82,NA,2019-2020
2019-11-30,province,nl,3.8,0,NA,2019-2020
2019-11-30,province,ns,3.33,0,NA,2019-2020
2019-11-30,province,pe,0,7.14,NA,2019-2020
2019-11-30,province,sk,1.66,9.13,NA,2019-2020
2019-11-30,territory,nt,0,0,NA,2019-2020
2019-11-30,territory,nu,0,0,NA,2019-2020
2019-11-30,territory,yt,0,0,NA,2019-2020
2019-11-16,province,mb,3.83,4.26,NA,2019-2020
2019-11-16,province,nl,0,4.67,NA,2019-2020
2019-11-16,province,ab,0,12.1,NA,2019-2020
2019-11-16,province,nb,1.49,1.49,NA,2019-2020
2019-11-16,province,ns,0,1.06,NA,2019-2020
2019-11-16,province,sk,0,6.32,NA,2019-2020
2019-11-16,province,pe,0,6.25,NA,2019-2020
2019-11-09,territory,nt,0,0,NA,2019-2020
2019-11-09,province,sk,0.63,3.14,NA,2019-2020
2019-11-09,province,pe,0,3.12,NA,2019-2020
2019-11-09,province,mb,1.71,5.13,NA,2019-2020
2019-11-09,province,nb,0,2.05,NA,2019-2020
2019-11-09,province,ab,0,10.45,NA,2019-2020
2019-11-09,territory,yt,0,0,NA,2019-2020
2019-11-09,territory,nu,0,0,NA,2019-2020
2019-11-09,province,nl,0,0,NA,2019-2020
2019-11-09,province,ns,0,0,NA,2019-2020
2019-11-16,territory,nt,0,7.69,NA,2019-2020
2019-11-16,territory,nu,0,0,NA,2019-2020
2019-11-16,territory,yt,0,0,NA,2019-2020
2019-11-02,province,ab,0,5.03,NA,2019-2020
2019-11-02,province,ns,0,0,NA,2019-2020
2019-11-02,province,pe,0,0,NA,2019-2020
2019-11-02,province,mb,2.01,5.62,NA,2019-2020
2019-11-02,province,nl,1.16,3.49,NA,2019-2020
2019-11-02,province,nb,1.77,0,NA,2019-2020
2019-11-02,territory,nu,0,0,NA,2019-2020
2019-11-02,territory,yt,0,1.43,NA,2019-2020
2019-11-02,territory,nt,0,37.5,NA,2019-2020
2019-11-02,province,sk,0,1.4,NA,2019-2020
2019-10-26,province,ab,0,2.68,NA,2019-2020
2019-10-19,territory,yt,0,1.25,NA,2019-2020
2019-10-26,territory,nt,0,5.88,NA,2019-2020
2019-10-19,province,mb,0.32,0.96,NA,2019-2020
2019-10-19,province,nb,0,0.84,NA,2019-2020
2019-10-19,province,nl,0,1.04,NA,2019-2020
2019-10-26,province,ns,0,0,NA,2019-2020
2019-10-26,province,nl,0,0,NA,2019-2020
2019-10-26,province,nb,0,0,NA,2019-2020
2019-10-26,province,mb,0.41,2.88,NA,2019-2020
2019-10-26,province,pe,0,0,NA,2019-2020
2019-10-26,province,sk,0.48,1.45,NA,2019-2020
2019-10-19,province,ab,0,2.88,NA,2019-2020
2019-10-19,province,ns,0,1.92,NA,2019-2020
2019-10-19,province,pe,0,0,NA,2019-2020
2019-10-19,province,sk,0.23,0.7,NA,2019-2020
2019-10-26,territory,nu,0,0,NA,2019-2020
2019-10-19,territory,nu,0,0,NA,2019-2020
2019-10-26,territory,yt,0,1.11,NA,2019-2020
2019-10-19,territory,nt,0,0,NA,2019-2020
2019-10-12,province,ab,0,1.8,NA,2019-2020
2019-10-12,province,sk,0.74,0.98,NA,2019-2020
2019-10-12,territory,nt,0,0,NA,2019-2020
2019-10-12,province,ns,0,3.23,NA,2019-2020
2019-10-12,province,nl,0,0,NA,2019-2020
2019-10-12,province,nb,0,0,NA,2019-2020
2019-10-12,province,mb,0.33,0.67,NA,2019-2020
2019-10-12,territory,nu,0,0,NA,2019-2020
2019-10-12,territory,yt,0,1.46,NA,2019-2020
2019-10-12,province,pe,0,0,NA,2019-2020
2019-10-05,province,nb,0,0,NA,2019-2020
2019-10-05,province,mb,0.47,0,NA,2019-2020
2019-10-05,province,nl,0,0,NA,2019-2020
2019-10-05,province,ab,0,1.51,NA,2019-2020
2019-10-05,territory,nt,0,0,NA,2019-2020
2019-10-05,territory,nu,0,0,NA,2019-2020
2019-10-05,province,ns,0,0,NA,2019-2020
2019-10-05,territory,yt,0,2.22,NA,2019-2020
2019-10-05,province,sk,2.38,0,NA,2019-2020
2019-10-05,province,pe,0,0,NA,2019-2020
2019-09-28,territory,nt,0,0,NA,2019-2020
2019-09-28,territory,nu,0,0,NA,2019-2020
2019-09-28,territory,yt,0,41.67,NA,2019-2020
2019-09-28,province,ab,0,1.2,NA,2019-2020
2019-09-28,province,pe,0,0,NA,2019-2020
2019-09-28,province,mb,0,0,NA,2019-2020
2019-09-28,province,nb,0.67,0.67,NA,2019-2020
2019-09-28,province,ns,0,0,NA,2019-2020
2019-09-28,province,nl,0,0,NA,2019-2020
2019-09-28,province,sk,0.35,1.06,NA,2019-2020
2019-09-14,territory,nu,0,0,NA,2019-2020
2019-09-21,province,nb,0,0,NA,2019-2020
2019-09-21,province,nl,0,0,NA,2019-2020
2019-09-21,territory,yt,0,0,NA,2019-2020
2019-09-21,territory,nu,0,0,NA,2019-2020
2019-09-21,province,ns,0,0,NA,2019-2020
2019-09-21,territory,nt,0,0,NA,2019-2020
2019-09-14,province,sk,0,0.35,NA,2019-2020
2019-09-14,territory,nt,0,0,NA,2019-2020
2019-09-14,territory,yt,0,0,NA,2019-2020
2019-09-14,province,ns,0,0,NA,2019-2020
2019-09-21,province,pe,0,0,NA,2019-2020
2019-09-14,province,nl,0,0,NA,2019-2020
2019-09-14,province,nb,0,0,NA,2019-2020
2019-09-21,province,sk,0,0.79,NA,2019-2020
2019-09-14,province,mb,0.68,0.68,NA,2019-2020
2019-09-21,province,ab,0,1.6,NA,2019-2020
2019-09-14,province,pe,0,0,NA,2019-2020
2019-09-14,province,ab,0,0.63,NA,2019-2020
2019-09-21,province,mb,0,0.45,NA,2019-2020
2019-09-07,territory,nt,0,0,NA,2019-2020
2019-09-07,territory,yt,0,15.38,NA,2019-2020
2019-09-07,territory,nu,0,0,NA,2019-2020
2019-09-07,province,nb,0,3,NA,2019-2020
2019-09-07,province,pe,0,0,NA,2019-2020
2019-09-07,province,sk,0,0,NA,2019-2020
2019-09-07,province,ns,0,0,NA,2019-2020
2019-09-07,province,nl,0,0,NA,2019-2020
2019-09-07,province,mb,0,0,NA,2019-2020
2019-09-07,province,ab,0,1.89,NA,2019-2020
2019-08-31,territory,nt,0,0,NA,2019-2020
2019-08-31,province,mb,1.48,0,NA,2019-2020
2019-08-31,province,ab,0,1.21,NA,2019-2020
2019-08-31,province,sk,0.42,0,NA,2019-2020
2019-08-31,province,pe,0,0,NA,2019-2020
2019-08-31,territory,yt,0,0,NA,2019-2020
2019-08-31,territory,nu,0,0,NA,2019-2020
2019-08-31,province,ns,0,0,NA,2019-2020
2019-08-31,province,nl,0,0,NA,2019-2020
2019-08-31,province,nb,0,2.13,NA,2019-2020
2021-08-28,territory,yt,0,0,NA,2020-2021
2021-02-27,province,bc,0,0,NA,2020-2021
2020-09-26,province,on,0,0,NA,2020-2021
2021-03-06,province,on,0,0,NA,2020-2021
2021-03-06,province,bc,0,0,NA,2020-2021
2021-03-06,nation,ca,0,0,NA,2020-2021
2021-07-10,region,prairies,0,0,NA,2020-2021
2021-02-27,region,territories,0,0,NA,2020-2021
2021-02-27,region,prairies,0,0,NA,2020-2021
2020-09-26,province,qc,0,0,NA,2020-2021
2020-09-05,nation,ca,0.04,0,NA,2020-2021
2021-02-27,region,atlantic,0,0,NA,2020-2021
2021-02-27,province,qc,0,0,NA,2020-2021
2021-02-27,province,on,0.08,0,NA,2020-2021
2021-07-10,region,territories,0,0,NA,2020-2021
2021-03-06,province,qc,0,0,NA,2020-2021
2021-02-27,nation,ca,0.01,0,NA,2020-2021
2021-02-20,region,territories,0,0,NA,2020-2021
2020-09-26,region,atlantic,0.29,0,NA,2020-2021
2021-02-20,region,prairies,0.1,0.01,NA,2020-2021
2021-02-20,region,atlantic,0,0,NA,2020-2021
2021-07-17,nation,ca,0.82,0,NA,2020-2021
2021-02-20,province,qc,0.3,0,NA,2020-2021
2021-02-20,province,on,0,0,NA,2020-2021
2021-02-20,province,bc,0,0.03,NA,2020-2021
2020-09-26,region,prairies,0,0,NA,2020-2021
2021-07-17,province,bc,0,0,NA,2020-2021
2021-02-20,nation,ca,0.05,0,NA,2020-2021
2021-07-10,region,atlantic,0,0,NA,2020-2021
2021-03-06,region,atlantic,0,0,NA,2020-2021
2021-02-13,region,prairies,0,0.01,NA,2020-2021
2021-03-20,province,bc,0,0,NA,2020-2021
2021-03-27,province,bc,0,0,NA,2020-2021
2021-07-10,nation,ca,0.11,0,NA,2020-2021
2021-03-27,nation,ca,0.04,0,NA,2020-2021
2021-03-20,region,territories,0,0,NA,2020-2021
2020-10-24,nation,ca,0.07,0.01,NA,2020-2021
2020-09-19,region,territories,0,0,NA,2020-2021
2021-03-20,region,prairies,0,0,NA,2020-2021
2021-03-20,region,atlantic,0,0,NA,2020-2021
2021-03-20,province,qc,1.18,0,NA,2020-2021
2020-09-05,province,bc,0,0,NA,2020-2021
2021-03-20,province,on,0.09,0,NA,2020-2021
2021-07-10,province,bc,0,0,NA,2020-2021
2021-03-20,nation,ca,0.07,0,NA,2020-2021
2021-03-06,region,prairies,0,0,NA,2020-2021
2020-09-26,nation,ca,0.05,0,NA,2020-2021
2021-03-13,region,territories,0,0,NA,2020-2021
2021-03-13,region,prairies,0,0,NA,2020-2021
2021-03-13,region,atlantic,0,0,NA,2020-2021
2021-07-10,province,on,0,0,NA,2020-2021
2021-03-13,province,qc,0.57,0,NA,2020-2021
2021-03-13,province,on,0,0.09,NA,2020-2021
2020-09-26,province,bc,0,0,NA,2020-2021
2021-03-13,province,bc,0,0.03,NA,2020-2021
2021-07-10,province,qc,2.37,0,NA,2020-2021
2021-03-13,nation,ca,0.03,0.01,NA,2020-2021
2021-03-06,region,territories,0,0,NA,2020-2021
2021-02-13,region,territories,0,0,NA,2020-2021
2021-02-13,region,atlantic,0.23,0,NA,2020-2021
2021-03-27,province,qc,0.32,0,NA,2020-2021
2021-01-16,province,on,0,0,NA,2020-2021
2021-01-23,province,qc,0,0,NA,2020-2021
2021-01-23,province,on,0.07,0,NA,2020-2021
2020-10-03,province,qc,0,0,NA,2020-2021
2021-07-24,province,bc,0,0,NA,2020-2021
2021-01-23,province,bc,0,0,NA,2020-2021
2021-01-23,nation,ca,0.05,0,NA,2020-2021
2021-01-16,region,territories,0,0,NA,2020-2021
2021-01-16,region,prairies,0.12,0.06,NA,2020-2021
2020-08-29,region,prairies,0,0,NA,2020-2021
2021-01-16,region,atlantic,0.01,0,NA,2020-2021
2020-10-03,region,atlantic,0.49,0,NA,2020-2021
2021-01-16,province,qc,0,0,NA,2020-2021
2021-07-24,province,on,0.19,0.19,NA,2020-2021
2021-01-23,region,atlantic,0.09,0,NA,2020-2021
2021-01-16,province,bc,0,0.06,NA,2020-2021
2021-01-16,nation,ca,0.03,0.03,NA,2020-2021
2021-01-09,region,territories,0,0,NA,2020-2021
2020-10-03,region,prairies,0.07,0,NA,2020-2021
2021-07-24,province,qc,6.94,0,NA,2020-2021
2021-01-09,region,prairies,0.18,0,NA,2020-2021
2021-01-09,region,atlantic,0,0,NA,2020-2021
2021-01-09,province,qc,0,0,NA,2020-2021
2021-07-24,region,atlantic,0,0,NA,2020-2021
2021-01-09,province,on,0,0,NA,2020-2021
2021-01-09,province,bc,0,0,NA,2020-2021
2021-01-09,nation,ca,0.07,0,NA,2020-2021
2021-07-24,nation,ca,0.97,0.02,NA,2020-2021
2021-01-23,region,prairies,0.07,0,NA,2020-2021
2021-02-13,province,qc,0,0,NA,2020-2021
2021-02-06,province,bc,0,0,NA,2020-2021
2020-09-26,region,territories,0,0,NA,2020-2021
2021-07-17,province,on,0,0,NA,2020-2021
2021-02-13,province,on,0,0,NA,2020-2021
2021-02-13,province,bc,0,0.1,NA,2020-2021
2021-02-13,nation,ca,0.02,0.01,NA,2020-2021
2021-02-06,region,prairies,0.12,0,NA,2020-2021
